item,name,party,group,district,constituency,gender,dob,dobPrecision,psid
Q20278674,Barbara Nowacka,Q57518078,Koalicja Obywatelska,Q5529401,Gdynia,female,1975-05-10T00:00:00Z,11,Q20278674-8f1ab62d-4a49-2e42-7eed-c77ec21eac78
Q21524707,Krzysztof Gawkowski,Q66807204,Lewica (2019),,,male,1980-04-11T00:00:00Z,11,Q21524707-0dfba9c2-46e5-bf69-e28c-36d6274fba63
Q222905,Jarosław Gowin,,,,,male,1961-12-04T00:00:00Z,11,Q222905-05f374f1-41a1-0b64-b7f1-5755423cbf19
Q27998784,Agnieszka Dziemianowicz-Bąk,Q66807204,Lewica (2019),,,female,1984-01-20T00:00:00Z,11,Q27998784-104001f1-49e5-ebe0-3124-9bc632a22ab4
Q4759608,Andrzej Grzyb,,,,,male,1956-08-23T00:00:00Z,11,Q4759608-C0D3BBE3-460D-48F9-815A-265639236D28
Q5368729,Elżbieta Witek,,,,,female,1957-12-17T00:00:00Z,11,Q5368729-D1569BC3-CB97-49F6-9AF3-C9597C870687
Q6799370,Małgorzata Kidawa-Błońska,,,,,female,1957-05-05T00:00:00Z,11,Q6799370-b364770d-4228-4c34-786a-333b11e069a6
Q71160486,Katarzyna Kotula,,,,,female,1977-02-01T00:00:00Z,11,Q71160486-a2fc45fe-4b48-c874-3510-a3d3e33cad9b
Q71419663,Riad Haidar,Q57518078,Koalicja Obywatelska,Q5094681,Chełm,male,1951-08-01T00:00:00Z,11,Q71419663-be779a83-4ca6-e678-6ef9-315206426a45
Q71513659,Patryk Wicher,,,,,male,1986-03-09T00:00:00Z,11,Q71513659-4d48e144-474e-5b72-be94-30fab8c25a99
Q72936824,Marcin Kulasek,Q66807204,Lewica (2019),Q7088700,Olsztyn,male,1976-04-04T00:00:00Z,11,Q72936824-470e095b-4dbf-3b99-a02a-ed65275c9711
Q72938214,Karolina Pawliczak,Q66807204,Lewica (2019),Q11797368,Q11797368,female,1976-06-25T00:00:00Z,11,Q72938214-d470eb44-4f1e-d8cd-01d7-976a5daf96df
Q932772,Marek Kuchciński,,,,,male,1955-08-09T00:00:00Z,11,Q932772-9a225aa4-4672-7c3e-add8-8a683761e6cb
Q9367197,Urszula Pasławska,,,,,female,1977-01-28T00:00:00Z,11,Q9367197-17834727-6104-4ACE-99DB-A6AA820A3CBD
Q9388252,Zbigniew Rau,Q156874,Prawo i Sprawiedliwość,Q8081135,Łódź,male,1955-02-03T00:00:00Z,11,Q9388252-a519494e-4497-056c-7d3e-9d1f35503ce7
Q941664,Eugeniusz Czykwin,Q57518078,Koalicja Obywatelska,,,male,1949-09-12T00:00:00Z,11,Q941664-a9733fea-4cac-b286-3856-08c89f5aa18c
